year,apogee,proca,pruned,plot,score_factor
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,1
2019,Symptom,Yes,No,F.II,3
2019,Symptom,Yes,No,F.II,3
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,1
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2018,None,No,Yes,A.III,2
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,2
2018,None,No,Yes,A.III,2
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,1
2018,None,No,Yes,A.III,3
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,2
2018,None,No,Yes,A.III,1
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,2
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,3
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,3
2018,None,No,Yes,A.III,2
2018,None,No,Yes,A.III,4
2018,None,No,Yes,A.III,3
2018,None,No,Yes,A.III,1
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,3
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,4
2019,None,No,Yes,A.III,3
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,3
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,3
2018,None,No,No,B.III,2
2018,None,No,No,B.III,3
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,3
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,3
2018,None,No,No,B.III,3
2018,None,No,No,B.III,3
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2018,None,No,No,B.III,2
2019,None,No,No,B.III,4
2019,None,No,No,B.III,3
2019,None,No,No,B.III,3
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,3
2019,None,No,No,B.III,3
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,2
2019,None,No,No,B.III,2
2019,None,No,No,B.III,3
2019,None,No,No,B.III,4
2019,None,No,No,B.III,2
2019,None,No,No,B.III,3
2019,None,No,No,B.III,3
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2019,None,No,No,B.III,4
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,1
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,1
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,3
2018,Bloom,Yes,Yes,C.III,4
2018,Bloom,Yes,Yes,C.III,3
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,2
2018,Bloom,Yes,Yes,C.III,1
2018,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,3
2019,Bloom,Yes,Yes,C.III,3
2019,Bloom,Yes,Yes,C.III,3
2019,Bloom,Yes,Yes,C.III,4
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,4
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,3
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,3
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,4
2019,Bloom,Yes,Yes,C.III,2
